DEALER DEAL;PLAYER DEAL;DEALER CALL FLOP;PLAYER CALL FLOP;DEALER BET TURN;PLAYER BET TURN;DEALER BET RIVER;PLAYER BET RIVER;WINNER;COUNT;PERCENT
HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;TWO_PAIR;ONE_PAIR;FULL_HOUSE;TWO_PAIR;Player;1;0.01%
ONE_PAIR;HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;FLUSH;TWO_PAIR;Player;1;0.01%
HIGH_CARD;HIGH_CARD;THREE_OF_A_KIND;ONE_PAIR;FULL_HOUSE;TWO_PAIR;FULL_HOUSE;TWO_PAIR;Player;2;0.02%
ONE_PAIR;HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;STRAIGHT;Player;5;0.05%
HIGH_CARD;HIGH_CARD;ONE_PAIR;TWO_PAIR;TWO_PAIR;TWO_PAIR;FULL_HOUSE;FULL_HOUSE;Player;2;0.02%
HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;STRAIGHT;ONE_PAIR;STRAIGHT;TWO_PAIR;Player;1;0.01%
HIGH_CARD;HIGH_CARD;ONE_PAIR;STRAIGHT;ONE_PAIR;HIGH_CARD;TWO_PAIR;ONE_PAIR;Player;1;0.01%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;STRAIGHT;STRAIGHT;Draw Game;2;0.02%
HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;TWO_PAIR;THREE_OF_A_KIND;Player;1;0.01%
HIGH_CARD;HIGH_CARD;HIGH_CARD;TWO_PAIR;ONE_PAIR;TWO_PAIR;ONE_PAIR;TWO_PAIR;Player;26;0.26%
HIGH_CARD;HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;FLUSH;Player;18;0.18%
HIGH_CARD;ONE_PAIR;THREE_OF_A_KIND;FULL_HOUSE;THREE_OF_A_KIND;FULL_HOUSE;THREE_OF_A_KIND;FULL_HOUSE;Player;2;0.02%
HIGH_CARD;ONE_PAIR;ONE_PAIR;THREE_OF_A_KIND;ONE_PAIR;THREE_OF_A_KIND;THREE_OF_A_KIND;FULL_HOUSE;Player;1;0.01%
HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;THREE_OF_A_KIND;TWO_PAIR;Player;17;0.17%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;Player;328;3.28%
HIGH_CARD;HIGH_CARD;HIGH_CARD;TWO_PAIR;ONE_PAIR;TWO_PAIR;TWO_PAIR;FULL_HOUSE;Player;4;0.04%
HIGH_CARD;HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;FLUSH;ONE_PAIR;HIGH_CARD;Player;1;0.01%
HIGH_CARD;HIGH_CARD;THREE_OF_A_KIND;THREE_OF_A_KIND;THREE_OF_A_KIND;FULL_HOUSE;FULL_HOUSE;FULL_HOUSE;Player;1;0.01%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;STRAIGHT;FLUSH;Player;1;0.01%
HIGH_CARD;HIGH_CARD;FLUSH;ONE_PAIR;HIGH_CARD;ONE_PAIR;ONE_PAIR;TWO_PAIR;Player;1;0.01%
HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;HIGH_CARD;THREE_OF_A_KIND;ONE_PAIR;THREE_OF_A_KIND;Player;1;0.01%
ONE_PAIR;HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;TWO_PAIR;THREE_OF_A_KIND;Player;4;0.04%
HIGH_CARD;HIGH_CARD;ONE_PAIR;THREE_OF_A_KIND;TWO_PAIR;THREE_OF_A_KIND;TWO_PAIR;THREE_OF_A_KIND;Player;7;0.07%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;FLUSH;Player;10;0.1%
ONE_PAIR;HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;HIGH_CARD;THREE_OF_A_KIND;HIGH_CARD;Player;4;0.04%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;STRAIGHT;HIGH_CARD;ONE_PAIR;ONE_PAIR;Player;5;0.05%
HIGH_CARD;HIGH_CARD;ONE_PAIR;THREE_OF_A_KIND;ONE_PAIR;THREE_OF_A_KIND;THREE_OF_A_KIND;FOUR_OF_A_KIND;Player;6;0.06%
HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;FLUSH;ONE_PAIR;Player;2;0.02%
ONE_PAIR;ONE_PAIR;ONE_PAIR;THREE_OF_A_KIND;TWO_PAIR;FULL_HOUSE;FULL_HOUSE;THREE_OF_A_KIND;Player;1;0.01%
HIGH_CARD;HIGH_CARD;ONE_PAIR;THREE_OF_A_KIND;TWO_PAIR;THREE_OF_A_KIND;TWO_PAIR;FLUSH;Player;1;0.01%
HIGH_CARD;HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;STRAIGHT;ONE_PAIR;STRAIGHT;Player;12;0.12%
ONE_PAIR;HIGH_CARD;TWO_PAIR;TWO_PAIR;TWO_PAIR;TWO_PAIR;TWO_PAIR;TWO_PAIR;Player;8;0.08%
HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;THREE_OF_A_KIND;ONE_PAIR;THREE_OF_A_KIND;Player;46;0.46%
HIGH_CARD;HIGH_CARD;FLUSH;ONE_PAIR;HIGH_CARD;FLUSH;ONE_PAIR;FLUSH;Player;1;0.01%
HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;STRAIGHT;Player;1;0.01%
HIGH_CARD;HIGH_CARD;TWO_PAIR;HIGH_CARD;TWO_PAIR;ONE_PAIR;FULL_HOUSE;THREE_OF_A_KIND;Player;2;0.02%
HIGH_CARD;HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;ONE_PAIR;FLUSH;ONE_PAIR;Player;4;0.04%
HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;FLUSH;FLUSH;ONE_PAIR;Player;1;0.01%
HIGH_CARD;ONE_PAIR;ONE_PAIR;FULL_HOUSE;ONE_PAIR;FULL_HOUSE;ONE_PAIR;FULL_HOUSE;Player;3;0.03%
HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;STRAIGHT;ONE_PAIR;STRAIGHT;ONE_PAIR;Player;1;0.01%
ONE_PAIR;HIGH_CARD;FULL_HOUSE;ONE_PAIR;THREE_OF_A_KIND;THREE_OF_A_KIND;THREE_OF_A_KIND;THREE_OF_A_KIND;Player;1;0.01%
HIGH_CARD;HIGH_CARD;ONE_PAIR;THREE_OF_A_KIND;ONE_PAIR;THREE_OF_A_KIND;FLUSH;FLUSH;Player;1;0.01%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;FLUSH;ONE_PAIR;ONE_PAIR;ONE_PAIR;Player;1;0.01%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;STRAIGHT;ONE_PAIR;Player;13;0.13%
ONE_PAIR;HIGH_CARD;THREE_OF_A_KIND;TWO_PAIR;FOUR_OF_A_KIND;TWO_PAIR;FOUR_OF_A_KIND;TWO_PAIR;Player;1;0.01%
HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;FLUSH;TWO_PAIR;Player;8;0.08%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;Draw Game;7;0.07%
HIGH_CARD;HIGH_CARD;STRAIGHT;HIGH_CARD;STRAIGHT;ONE_PAIR;STRAIGHT;ONE_PAIR;Player;3;0.03%
HIGH_CARD;HIGH_CARD;HIGH_CARD;FLUSH;FLUSH;HIGH_CARD;FLUSH;ONE_PAIR;Player;1;0.01%
ONE_PAIR;ONE_PAIR;ONE_PAIR;THREE_OF_A_KIND;THREE_OF_A_KIND;THREE_OF_A_KIND;THREE_OF_A_KIND;THREE_OF_A_KIND;Player;1;0.01%
HIGH_CARD;HIGH_CARD;ONE_PAIR;HIGH_CARD;FLUSH;HIGH_CARD;ONE_PAIR;FLUSH;Player;1;0.01%
HIGH_CARD;HIGH_CARD;FLUSH;ONE_PAIR;HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;Player;1;0.01%
ONE_PAIR;HIGH_CARD;THREE_OF_A_KIND;ONE_PAIR;THREE_OF_A_KIND;ONE_PAIR;THREE_OF_A_KIND;ONE_PAIR;Player;5;0.05%
HIGH_CARD;HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;HIGH_CARD;TWO_PAIR;HIGH_CARD;Player;52;0.52%
HIGH_CARD;HIGH_CARD;ONE_PAIR;STRAIGHT;ONE_PAIR;STRAIGHT;TWO_PAIR;HIGH_CARD;Player;1;0.01%
HIGH_CARD;HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;HIGH_CARD;FLUSH;FLUSH;Player;5;0.05%
ONE_PAIR;HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;Player;15;0.15%
HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;STRAIGHT;ONE_PAIR;HIGH_CARD;ONE_PAIR;Player;3;0.03%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;STRAIGHT;STRAIGHT;HIGH_CARD;HIGH_CARD;Player;1;0.01%
HIGH_CARD;HIGH_CARD;TWO_PAIR;ONE_PAIR;FULL_HOUSE;TWO_PAIR;FULL_HOUSE;TWO_PAIR;Player;6;0.06%
ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;TWO_PAIR;TWO_PAIR;Player;3;0.03%
ONE_PAIR;HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;HIGH_CARD;STRAIGHT;HIGH_CARD;Player;1;0.01%
HIGH_CARD;HIGH_CARD;ONE_PAIR;STRAIGHT;TWO_PAIR;ONE_PAIR;TWO_PAIR;TWO_PAIR;Player;1;0.01%
HIGH_CARD;HIGH_CARD;TWO_PAIR;ONE_PAIR;TWO_PAIR;TWO_PAIR;TWO_PAIR;TWO_PAIR;Player;25;0.25%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;STRAIGHT;TWO_PAIR;Player;3;0.03%
HIGH_CARD;HIGH_CARD;ONE_PAIR;STRAIGHT;TWO_PAIR;ONE_PAIR;TWO_PAIR;ONE_PAIR;Player;2;0.02%
HIGH_CARD;HIGH_CARD;ONE_PAIR;THREE_OF_A_KIND;ONE_PAIR;THREE_OF_A_KIND;ONE_PAIR;FULL_HOUSE;Player;5;0.05%
HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;FLUSH;ONE_PAIR;Player;9;0.09%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;FLUSH;HIGH_CARD;FLUSH;ONE_PAIR;Player;9;0.09%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;FLUSH;FLUSH;Player;3;0.03%
ONE_PAIR;HIGH_CARD;TWO_PAIR;ONE_PAIR;TWO_PAIR;FLUSH;TWO_PAIR;FLUSH;Player;1;0.01%
HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;FLUSH;ONE_PAIR;HIGH_CARD;FLUSH;Player;1;0.01%
HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;TWO_PAIR;FLUSH;TWO_PAIR;Player;2;0.02%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;STRAIGHT;ONE_PAIR;ONE_PAIR;Player;6;0.06%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;STRAIGHT;ONE_PAIR;Player;5;0.05%
HIGH_CARD;HIGH_CARD;ONE_PAIR;HIGH_CARD;THREE_OF_A_KIND;FLUSH;FLUSH;ONE_PAIR;Player;1;0.01%
ONE_PAIR;HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;TWO_PAIR;Player;3;0.03%
HIGH_CARD;HIGH_CARD;ONE_PAIR;STRAIGHT;ONE_PAIR;STRAIGHT;ONE_PAIR;STRAIGHT;Player;5;0.05%
HIGH_CARD;HIGH_CARD;TWO_PAIR;TWO_PAIR;TWO_PAIR;TWO_PAIR;TWO_PAIR;TWO_PAIR;Player;11;0.11%
HIGH_CARD;HIGH_CARD;HIGH_CARD;TWO_PAIR;ONE_PAIR;FULL_HOUSE;FLUSH;FULL_HOUSE;Player;1;0.01%
HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;ONE_PAIR;TWO_PAIR;FLUSH;TWO_PAIR;Player;1;0.01%
HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;ONE_PAIR;THREE_OF_A_KIND;ONE_PAIR;THREE_OF_A_KIND;Player;1;0.01%
HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;TWO_PAIR;TWO_PAIR;TWO_PAIR;FULL_HOUSE;Player;3;0.03%
HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;TWO_PAIR;ONE_PAIR;Player;1;0.01%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;STRAIGHT;ONE_PAIR;STRAIGHT;TWO_PAIR;Player;1;0.01%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;FLUSH;Player;4;0.04%
HIGH_CARD;HIGH_CARD;TWO_PAIR;ONE_PAIR;TWO_PAIR;FLUSH;TWO_PAIR;FLUSH;Player;1;0.01%
HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;Player;646;6.46%
HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;STRAIGHT;ONE_PAIR;STRAIGHT;ONE_PAIR;Player;9;0.09%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;TWO_PAIR;Player;65;0.65%
HIGH_CARD;ONE_PAIR;HIGH_CARD;THREE_OF_A_KIND;ONE_PAIR;FOUR_OF_A_KIND;ONE_PAIR;FOUR_OF_A_KIND;Player;1;0.01%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;Player;631;6.31%
HIGH_CARD;HIGH_CARD;ONE_PAIR;TWO_PAIR;ONE_PAIR;TWO_PAIR;TWO_PAIR;TWO_PAIR;Player;28;0.28%
HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;TWO_PAIR;STRAIGHT;Player;2;0.02%
HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;THREE_OF_A_KIND;STRAIGHT;FULL_HOUSE;Player;1;0.01%
HIGH_CARD;HIGH_CARD;FULL_HOUSE;ONE_PAIR;FULL_HOUSE;ONE_PAIR;THREE_OF_A_KIND;TWO_PAIR;Player;1;0.01%
HIGH_CARD;HIGH_CARD;TWO_PAIR;ONE_PAIR;TWO_PAIR;TWO_PAIR;FULL_HOUSE;FULL_HOUSE;Player;1;0.01%
HIGH_CARD;HIGH_CARD;HIGH_CARD;STRAIGHT;HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;Player;1;0.01%
HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;STRAIGHT;ONE_PAIR;HIGH_CARD;TWO_PAIR;Player;1;0.01%
HIGH_CARD;HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;ONE_PAIR;TWO_PAIR;TWO_PAIR;Player;15;0.15%
HIGH_CARD;HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;ONE_PAIR;STRAIGHT;ONE_PAIR;Player;1;0.01%
HIGH_CARD;HIGH_CARD;HIGH_CARD;TWO_PAIR;HIGH_CARD;TWO_PAIR;ONE_PAIR;FULL_HOUSE;Player;6;0.06%
HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;TWO_PAIR;Player;88;0.88%
HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;TWO_PAIR;THREE_OF_A_KIND;FLUSH;THREE_OF_A_KIND;Player;1;0.01%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;Draw Game;18;0.18%
HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;STRAIGHT;ONE_PAIR;STRAIGHT;THREE_OF_A_KIND;Player;1;0.01%
HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;STRAIGHT;ONE_PAIR;TWO_PAIR;TWO_PAIR;Player;1;0.01%
HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;TWO_PAIR;TWO_PAIR;Player;22;0.22%
HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;FLUSH;ONE_PAIR;FLUSH;TWO_PAIR;Player;1;0.01%
HIGH_CARD;HIGH_CARD;ONE_PAIR;STRAIGHT;ONE_PAIR;STRAIGHT;ONE_PAIR;ONE_PAIR;Player;1;0.01%
HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;THREE_OF_A_KIND;TWO_PAIR;THREE_OF_A_KIND;TWO_PAIR;Player;22;0.22%
ONE_PAIR;HIGH_CARD;ONE_PAIR;TWO_PAIR;ONE_PAIR;TWO_PAIR;ONE_PAIR;TWO_PAIR;Player;7;0.07%
HIGH_CARD;HIGH_CARD;HIGH_CARD;STRAIGHT;ONE_PAIR;ONE_PAIR;TWO_PAIR;TWO_PAIR;Player;1;0.01%
HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;STRAIGHT;TWO_PAIR;Player;3;0.03%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;HIGH_CARD;FLUSH;FLUSH;Player;1;0.01%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;STRAIGHT;ONE_PAIR;HIGH_CARD;Player;1;0.01%
HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;THREE_OF_A_KIND;THREE_OF_A_KIND;Draw Game;2;0.02%
HIGH_CARD;ONE_PAIR;ONE_PAIR;TWO_PAIR;ONE_PAIR;TWO_PAIR;THREE_OF_A_KIND;FULL_HOUSE;Player;2;0.02%
HIGH_CARD;HIGH_CARD;ONE_PAIR;THREE_OF_A_KIND;ONE_PAIR;FULL_HOUSE;TWO_PAIR;FULL_HOUSE;Player;1;0.01%
HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;THREE_OF_A_KIND;ONE_PAIR;THREE_OF_A_KIND;Player;4;0.04%
HIGH_CARD;HIGH_CARD;FLUSH;TWO_PAIR;FLUSH;TWO_PAIR;FLUSH;TWO_PAIR;Player;1;0.01%
HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;TWO_PAIR;ONE_PAIR;Player;4;0.04%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;HIGH_CARD;TWO_PAIR;STRAIGHT;Player;2;0.02%
HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;THREE_OF_A_KIND;THREE_OF_A_KIND;Player;35;0.35%
HIGH_CARD;HIGH_CARD;TWO_PAIR;ONE_PAIR;TWO_PAIR;ONE_PAIR;TWO_PAIR;ONE_PAIR;Player;112;1.12%
HIGH_CARD;HIGH_CARD;TWO_PAIR;ONE_PAIR;TWO_PAIR;ONE_PAIR;FULL_HOUSE;THREE_OF_A_KIND;Player;7;0.07%
HIGH_CARD;HIGH_CARD;ONE_PAIR;THREE_OF_A_KIND;FLUSH;THREE_OF_A_KIND;ONE_PAIR;THREE_OF_A_KIND;Player;1;0.01%
ONE_PAIR;HIGH_CARD;FULL_HOUSE;THREE_OF_A_KIND;FULL_HOUSE;THREE_OF_A_KIND;FULL_HOUSE;THREE_OF_A_KIND;Player;1;0.01%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;FLUSH;TWO_PAIR;FLUSH;Player;1;0.01%
HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;FLUSH;Player;17;0.17%
HIGH_CARD;HIGH_CARD;HIGH_CARD;STRAIGHT;HIGH_CARD;STRAIGHT;ONE_PAIR;ONE_PAIR;Player;1;0.01%
HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;TWO_PAIR;TWO_PAIR;FULL_HOUSE;TWO_PAIR;Player;1;0.01%
HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;HIGH_CARD;STRAIGHT;Player;6;0.06%
HIGH_CARD;ONE_PAIR;THREE_OF_A_KIND;TWO_PAIR;FULL_HOUSE;TWO_PAIR;FULL_HOUSE;TWO_PAIR;Player;2;0.02%
HIGH_CARD;HIGH_CARD;TWO_PAIR;HIGH_CARD;TWO_PAIR;ONE_PAIR;FULL_HOUSE;TWO_PAIR;Player;1;0.01%
HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;ONE_PAIR;STRAIGHT;ONE_PAIR;Player;2;0.02%
HIGH_CARD;HIGH_CARD;HIGH_CARD;STRAIGHT;HIGH_CARD;STRAIGHT;HIGH_CARD;HIGH_CARD;Player;1;0.01%
ONE_PAIR;HIGH_CARD;ONE_PAIR;ONE_PAIR;STRAIGHT;ONE_PAIR;STRAIGHT;ONE_PAIR;Player;1;0.01%
HIGH_CARD;HIGH_CARD;HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;ONE_PAIR;STRAIGHT;Player;2;0.02%
HIGH_CARD;HIGH_CARD;ONE_PAIR;ONE_PAIR;ONE_PAIR;TWO_PAIR;STRAIGHT;TWO_PAIR;Player;1;0.01%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;STRAIGHT;STRAIGHT;HIGH_CARD;STRAIGHT;Player;1;0.01%
ONE_PAIR;HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;HIGH_CARD;ONE_PAIR;FLUSH;Player;2;0.02%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;STRAIGHT;HIGH_CARD;FLUSH;FLUSH;Player;1;0.01%
HIGH_CARD;HIGH_CARD;HIGH_CARD;HIGH_CARD;STRAIGHT;HIGH_CARD;ONE_PAIR;HIGH_CARD;Player;2;0.02%
HIGH_CARD;HIGH_CARD;ONE_PAIR;TWO_PAIR;TWO_PAIR;TWO_PAIR;TWO_PAIR;FULL_HOUSE;Player;2;0.02%
HIGH_CARD;HIGH_CARD;ONE_PAIR;HIGH_CARD;TWO_PAIR;ONE_PAIR;FLUSH;ONE_PAIR;Player;1;0.01%
HIGH_CARD;HIGH_CARD;STRAIGHT;HIGH_CARD;HIGH_CARD;STRAIGHT;ONE_PAIR;ONE_PAIR;Player;1;0.01%
